base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_212_rna_output_212	dna_output_212_rna_output_212_Unique_RNA.tab.rc	dna_output_212_rna_output_212_Other.tab.rc	dna_output_212_rna_output_212_Unique_RNAfiltered_dna_output_212_rna_output_212_Unique_RNA.tab.rc	116594	33501	116560	33493	178159	646343
dna_output_213_rna_output_213	dna_output_213_rna_output_213_Unique_RNA.tab.rc	dna_output_213_rna_output_213_Other.tab.rc	dna_output_213_rna_output_213_Unique_RNAfiltered_dna_output_213_rna_output_213_Unique_RNA.tab.rc	116772	33561	116658	33532	178457	646325
dna_output_214_rna_output_214	dna_output_214_rna_output_214_Unique_RNA.tab.rc	dna_output_214_rna_output_214_Other.tab.rc	dna_output_214_rna_output_214_Unique_RNAfiltered_dna_output_214_rna_output_214_Unique_RNA.tab.rc	116748	33551	116609	33511	178416	646343
dna_output_215_rna_output_215	dna_output_215_rna_output_215_Unique_RNA.tab.rc	dna_output_215_rna_output_215_Other.tab.rc	dna_output_215_rna_output_215_Unique_RNAfiltered_dna_output_215_rna_output_215_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646383
dna_output_216_rna_output_216	dna_output_216_rna_output_216_Unique_RNA.tab.rc	dna_output_216_rna_output_216_Other.tab.rc	dna_output_216_rna_output_216_Unique_RNAfiltered_dna_output_216_rna_output_216_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_217_rna_output_217	dna_output_217_rna_output_217_Unique_RNA.tab.rc	dna_output_217_rna_output_217_Other.tab.rc	dna_output_217_rna_output_217_Unique_RNAfiltered_dna_output_217_rna_output_217_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_218_rna_output_218	dna_output_218_rna_output_218_Unique_RNA.tab.rc	dna_output_218_rna_output_218_Other.tab.rc	dna_output_218_rna_output_218_Unique_RNAfiltered_dna_output_218_rna_output_218_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_219_rna_output_219	dna_output_219_rna_output_219_Unique_RNA.tab.rc	dna_output_219_rna_output_219_Other.tab.rc	dna_output_219_rna_output_219_Unique_RNAfiltered_dna_output_219_rna_output_219_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_21_rna_output_21	dna_output_21_rna_output_21_Unique_RNA.tab.rc	dna_output_21_rna_output_21_Other.tab.rc	dna_output_21_rna_output_21_Unique_RNAfiltered_dna_output_21_rna_output_21_Unique_RNA.tab.rc	116618	33508	116585	33500	178193	646343
dna_output_220_rna_output_220	dna_output_220_rna_output_220_Unique_RNA.tab.rc	dna_output_220_rna_output_220_Other.tab.rc	dna_output_220_rna_output_220_Unique_RNAfiltered_dna_output_220_rna_output_220_Unique_RNA.tab.rc	116772	33561	116658	33532	178457	646325
dna_output_221_rna_output_221	dna_output_221_rna_output_221_Unique_RNA.tab.rc	dna_output_221_rna_output_221_Other.tab.rc	dna_output_221_rna_output_221_Unique_RNAfiltered_dna_output_221_rna_output_221_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_222_rna_output_222	dna_output_222_rna_output_222_Unique_RNA.tab.rc	dna_output_222_rna_output_222_Other.tab.rc	dna_output_222_rna_output_222_Unique_RNAfiltered_dna_output_222_rna_output_222_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
